home_score,home_wins,home_losses,home_fgm,home_fga,home_3pm,home_3pa,home_ftm,home_fta,home_oreb,home_dreb,home_treb,home_ast,home_blk,home_to,home_pf,home_poss,away_score,away_wins,away_losses,away_fgm,away_fga,away_3pm,away_3pa,away_ftm,away_fta,away_oreb,away_dreb,away_treb,away_ast,away_blk,away_to,away_pf,away_poss,winner
64,13,7,23,52,5,16,13,21,11,27,3,11,4,15,15,51,68,11,10,24,58,6,20,14,19,11,25,4,10,4,13,18,53,home
66,4,6,23,57,7,23,14,21,13,22,3,13,3,15,20,52,50,0,1,18,54,4,19,10,21,9,22,8,9,1,7,18,42,home
78,13,11,26,56,9,23,17,22,8,24,3,14,2,13,19,57,71,10,15,25,59,6,18,15,24,12,26,4,11,3,12,18,53,home
67,22,10,25,54,7,18,10,14,9,24,3,14,4,10,16,51,84,29,5,30,64,10,26,14,19,12,23,3,16,3,10,20,59,home
88,3,0,32,62,8,25,16,24,10,28,1,18,7,11,14,64,74,0,3,23,68,10,28,17,21,13,23,3,9,2,12,22,54,home
61,1,6,21,61,7,25,11,18,13,21,3,9,2,13,21,51,66,2,4,24,57,7,23,11,17,6,27,3,13,1,13,18,58,away
81,2,1,30,63,7,22,14,20,11,30,2,17,4,11,15,61,67,1,2,23,55,8,19,14,21,13,24,3,12,2,15,18,51,home
81,3,3,28,64,9,24,18,24,10,25,5,13,4,11,24,59,52,0,1,21,64,7,32,3,4,8,19,3,16,1,15,22,58,home
77,6,5,28,59,6,16,16,22,10,26,3,11,3,12,18,58,69,4,7,24,58,6,21,15,21,11,27,4,11,7,17,18,57,home
71,10,7,26,59,6,17,14,20,14,25,3,11,4,14,21,55,64,2,13,24,56,4,13,12,19,11,21,4,13,2,14,19,53,home
71,3,0,21,51,5,18,23,31,10,27,3,9,5,13,19,49,83,2,0,31,64,7,20,15,22,16,39,2,18,5,13,15,58,away
61,5,12,22,55,6,21,12,18,8,26,3,12,2,15,17,54,67,6,11,23,56,6,18,15,23,11,26,4,11,4,14,20,54,home
71,0,3,26,64,5,16,13,20,14,26,5,9,2,18,27,60,74,1,3,27,64,7,26,14,21,16,24,4,16,4,13,20,54,home
74,18,11,26,60,8,24,15,23,12,25,3,10,3,11,20,53,70,14,15,24,56,8,24,14,20,9,27,3,13,4,15,19,56,home
73,5,2,23,54,9,28,19,26,7,27,3,14,4,14,22,55,71,3,6,26,58,8,22,12,15,9,24,2,14,3,13,22,57,home
72,8,5,25,57,7,19,15,22,10,25,3,13,3,13,18,55,67,5,7,23,58,10,26,10,16,9,22,4,12,3,12,19,53,home
65,13,17,24,61,4,15,12,18,13,26,3,10,4,12,17,51,75,13,17,27,61,7,22,15,21,13,21,3,14,2,14,22,57,away
76,8,14,27,60,7,22,15,21,7,23,2,12,2,13,19,61,78,17,5,28,59,6,17,17,24,13,24,4,12,4,13,23,56,away
82,9,4,29,59,7,19,16,20,11,28,4,17,4,13,16,59,77,8,4,27,58,7,19,16,21,11,23,3,15,2,12,22,56,away
73,9,8,27,57,6,19,13,20,13,26,3,17,6,14,17,55,73,12,6,25,57,5,17,18,24,11,29,3,14,4,14,18,55,home
76,6,2,25,56,6,18,20,28,12,24,3,13,4,11,21,51,79,6,5,29,59,9,27,13,19,10,26,3,19,3,14,18,61,home
70,9,7,24,54,6,17,15,22,9,26,2,12,4,13,15,54,61,9,6,21,58,5,17,13,21,16,25,4,13,6,12,19,46,away
78,19,5,28,59,6,17,17,24,12,25,4,13,4,13,22,56,66,6,18,25,56,6,18,11,17,8,23,2,13,3,13,18,55,home
80,21,10,27,57,10,24,16,22,9,28,3,16,4,12,16,57,72,16,16,26,59,9,26,11,16,10,27,3,14,3,14,17,57,home
67,2,16,25,61,6,16,11,19,11,22,3,12,2,14,19,57,67,5,14,24,56,6,19,14,20,8,22,3,12,4,13,22,55,away
75,15,7,27,59,8,21,13,18,12,24,3,13,4,10,18,54,69,14,7,23,53,7,20,15,23,11,32,3,12,4,15,16,53,home
81,6,4,29,65,9,23,13,19,13,28,3,16,5,12,17,60,75,6,2,27,58,10,25,12,20,12,26,5,15,3,16,19,58,home
82,9,4,29,61,9,23,15,20,11,27,3,16,5,12,17,58,81,10,3,28,58,7,20,18,26,11,24,3,13,6,14,19,58,away
69,12,13,25,53,7,19,13,20,8,24,2,14,3,14,22,57,76,16,9,27,57,5,16,16,23,11,24,3,13,4,14,20,57,away
75,17,4,26,56,8,21,14,19,9,27,2,13,5,13,16,57,82,16,6,30,65,8,22,15,20,14,30,3,18,4,13,16,60,home
88,11,8,30,64,10,26,18,25,10,27,4,16,4,13,19,64,69,9,10,24,54,6,18,15,22,9,25,2,12,3,13,15,53,home
84,2,3,28,63,9,24,19,25,11,24,3,13,4,11,21,58,85,3,1,31,59,10,22,13,18,9,26,4,19,5,16,20,66,away
81,7,2,29,62,7,19,16,23,12,25,3,14,6,14,19,60,68,3,5,25,55,7,22,12,17,8,23,2,12,2,10,16,53,away
74,17,12,26,57,10,26,13,17,9,24,2,13,3,11,16,56,72,10,20,25,55,9,23,13,16,7,26,2,13,3,13,17,58,home
70,9,18,25,57,9,25,12,20,10,26,4,13,2,14,19,56,87,14,13,31,65,8,23,16,25,11,24,4,16,3,12,19,63,home
71,9,5,24,52,6,16,16,23,9,24,3,12,2,14,19,55,71,5,11,26,59,7,19,13,19,13,29,3,13,5,15,21,56,home
86,17,2,31,61,7,19,17,25,11,27,3,15,5,13,20,62,77,16,3,27,62,7,19,15,22,14,27,2,14,6,12,20,54,home
65,0,9,22,58,7,21,14,20,11,21,3,12,3,17,21,56,65,0,3,24,64,9,25,10,14,5,22,3,13,2,19,22,68,home
66,13,20,23,53,6,19,13,19,8,22,3,12,4,14,19,55,69,15,17,24,59,5,16,16,24,13,26,3,11,4,13,19,52,home
84,10,3,30,65,7,19,18,26,14,29,3,17,7,12,16,58,76,6,5,28,63,6,19,14,19,12,27,3,12,4,13,17,59,home
70,14,10,24,55,5,19,17,24,12,23,4,13,4,14,17,52,63,14,9,22,51,5,16,14,22,10,27,3,11,4,14,15,51,away
74,7,6,25,56,8,24,15,23,10,26,4,13,2,13,19,55,67,3,8,23,53,5,14,16,23,11,28,3,13,3,17,20,55,home
70,4,9,24,59,5,15,16,22,12,22,3,13,3,15,22,56,58,0,13,21,54,6,19,11,16,9,22,3,11,1,18,16,55,away
72,18,4,25,56,9,23,13,20,10,27,3,14,5,13,19,54,65,10,11,22,53,8,24,13,18,6,24,3,10,3,12,16,53,home
77,3,2,25,54,7,20,19,26,8,25,3,14,5,13,18,55,76,3,2,27,61,7,22,13,17,10,26,4,15,4,15,20,61,home
75,10,7,26,58,7,20,17,24,12,27,3,13,4,13,19,54,79,15,3,27,60,8,21,17,24,12,27,3,14,6,11,17,56,away
69,4,21,24,60,7,22,14,20,11,23,4,13,4,13,21,55,65,7,18,24,55,6,16,12,18,11,24,4,12,4,16,19,55,home
74,8,17,26,61,8,23,13,20,11,25,3,11,3,12,20,56,73,13,13,25,54,8,21,16,21,8,25,3,12,4,13,19,56,home
69,6,17,24,60,6,22,16,23,11,26,3,12,2,13,20,53,73,12,12,24,54,10,26,14,19,9,26,3,14,3,13,16,54,home
66,3,11,24,60,6,19,13,21,13,25,3,10,4,17,19,56,82,12,3,30,62,7,18,15,21,12,22,3,15,2,16,23,63,away
89,1,0,30,59,10,25,19,28,10,27,2,19,3,17,19,65,79,1,0,25,53,11,29,18,23,14,30,3,14,6,11,17,47,home
76,14,10,26,57,8,22,16,22,10,26,3,14,4,12,17,56,70,5,16,24,55,7,19,15,22,9,25,3,11,2,15,18,56,home
73,3,2,27,57,8,24,11,15,8,27,2,17,3,11,17,57,93,4,1,33,65,9,24,19,25,12,29,4,16,6,14,22,65,away
68,8,17,24,59,5,17,14,21,12,26,3,12,2,12,21,51,67,11,13,22,53,8,23,15,20,8,25,3,12,2,12,19,51,home
63,7,14,24,52,7,22,9,13,6,22,3,14,3,12,18,54,76,8,13,27,62,10,24,12,16,9,26,4,14,2,13,19,60,away
67,30,2,25,54,7,19,10,13,8,24,3,14,4,9,14,51,83,25,9,30,66,8,23,14,19,14,29,4,18,4,12,16,59,home
72,7,7,25,58,5,17,17,23,11,24,3,12,3,14,20,55,79,7,7,27,60,10,25,15,21,11,27,3,15,7,14,19,58,away
76,8,4,26,55,9,23,14,20,8,24,3,13,2,12,19,56,57,0,1,21,57,5,24,10,16,9,19,4,9,5,14,22,53,home
73,14,11,24,58,6,21,19,26,12,23,3,11,3,12,17,51,63,7,20,22,55,6,20,12,18,11,21,4,11,3,18,22,55,home
70,4,4,26,57,7,21,12,20,8,27,2,15,3,12,19,58,84,7,1,30,60,11,25,15,21,11,26,3,15,3,11,15,58,home
61,0,2,22,59,7,19,10,16,15,28,4,12,3,18,21,53,64,1,1,22,55,6,19,14,17,12,27,3,13,5,16,19,52,home
65,6,14,24,56,6,16,12,19,11,25,4,12,4,16,20,56,76,16,6,28,61,6,19,16,24,12,26,3,17,5,12,16,56,away
86,12,10,32,65,8,24,15,23,11,25,3,16,3,12,18,63,80,14,8,27,55,10,23,16,22,7,25,2,14,3,11,18,58,away
79,14,3,28,60,10,25,13,19,10,31,3,14,2,14,18,61,78,11,4,28,61,7,22,16,22,12,28,3,15,3,13,16,57,home
74,14,11,26,58,9,25,13,19,11,26,3,15,2,14,19,57,66,13,11,22,54,5,16,16,23,11,22,3,11,3,15,20,51,home
74,6,4,27,58,6,17,14,21,12,24,3,13,6,11,22,53,60,4,6,21,49,8,23,11,15,5,19,2,15,2,11,15,50,home
66,6,19,24,60,7,22,12,17,10,24,3,12,2,14,19,56,72,11,11,24,56,9,26,14,20,8,27,3,16,2,15,18,57,away
73,23,6,26,56,7,19,13,19,13,25,3,16,5,13,18,54,84,23,6,30,64,8,21,17,25,15,23,3,17,5,12,20,58,home
81,3,1,28,58,9,22,16,22,9,26,4,15,8,13,20,60,78,3,0,28,58,6,18,16,22,10,27,3,14,6,13,18,58,away
